user_id,post_id,rating
426,9114,1
426,10574,1
426,11177,1
454,9579,0
461,9457,1
461,10938,1
461,11490,1
467,1657,1
467,1962,1
467,2506,1
467,3389,1
467,4124,1
467,4278,1
467,4672,1
467,5535,1
467,6668,1
467,7663,1
467,8479,1
467,9331,1
467,9963,1
467,10515,1
467,10941,1
467,11639,1
468,10244,1
483,2742,1
483,4023,1
483,4681,1
483,5083,1
483,5610,1
483,7115,1
483,7161,1
483,9476,1
483,10222,1
483,10230,1
483,10956,1
483,11581,1
491,9183,1
492,3424,1
492,9644,1
492,10230,1
492,10812,1
493,1657,1
493,1962,1
493,2506,1
493,3389,1
493,4124,1
493,4278,1
493,4672,1
493,5109,1
493,5535,1
493,6668,1
493,7663,1
493,8479,1
493,9090,1
493,9331,1
493,9963,1
493,10515,1
493,10941,1
493,11639,1
494,5109,1
494,9663,1
494,9963,1
494,10165,1
494,11639,1
495,738,1
508,1019,0
518,8558,1
518,8634,1
518,9096,1
518,9365,1
518,9681,1
518,10727,1
518,10778,1
518,10813,1
518,10983,1
518,11060,1
518,11149,1
518,11157,1
518,11184,1
518,11438,1
525,6724,1
545,10668,1
550,8254,1
550,8757,1
550,9167,1
550,10586,1
550,10777,1
557,11559,1
566,3116,1
567,2056,0
567,2148,0
567,2748,0
567,3810,0
567,4518,0
568,8691,1
575,11728,0
577,1155,1
577,9607,1
586,11701,1
599,3985,0
603,6724,1
603,9644,1
603,9655,1
603,9671,1
603,9732,1
603,10230,1
604,9638,1
605,9021,1
606,1524,1
606,2684,1
606,4485,1
606,7161,1
606,9075,1
621,9908,1
621,10582,1
626,9379,1
626,9951,1
626,9980,1
626,10041,1
626,10090,1
626,10486,1
626,10555,1
626,10643,1
626,11304,1
630,9386,1
630,10053,1
646,35,1
646,9583,1
663,8959,1
663,9082,1
663,9420,1
663,9936,1
663,10681,1
690,1337,1
690,5083,1
690,6724,1
690,9644,1
690,10627,1
690,10812,1
690,11522,1
709,2500,1
709,6724,0
719,9021,1
727,7646,1
727,8031,1
727,8558,1
823,2205,1
823,3111,1
823,7671,1
823,8286,1
823,8746,1
823,9452,1
823,10077,1
823,10433,1
823,10687,1
823,11007,1
823,11202,1
823,11247,1
823,11301,1
823,11339,1
823,11359,1
1013,2401,0
1013,9386,0
1065,9117,1
1065,9737,1
1065,11361,1
1066,10715,0
1069,9638,1
1087,1741,1
1087,3882,1
1087,4451,1
1087,7161,1
1087,8637,1
1087,8891,1
1087,9404,1
1087,9432,1
1087,9440,1
1087,9551,1
1087,9597,1
1087,9638,1
1087,9644,1
1087,9696,1
1087,9852,1
